algorithm,alpha,lr,rho,mean_final_F,std_final_F,mean_gap,mean_dist,mean_gradnorm,mean_sharpness_gap,divergence_rate,mean_wall_time_s,n_seeds
atlas,1.2,0.005,0.01,0.10584025681018824,0.005313066842047171,0.10275296764448283,11.590372276306152,0.0102614717558026,-7.620304822921752e-05,0.0,2.741224241256714,5
atlas,1.2,0.005,0.02,0.10584025979042049,0.005313065720585436,0.10275297062471507,11.590372085571289,0.01026147194206712,-0.00014792084693903998,0.0,2.7373146533966066,5
atlas,1.2,0.005,0.05,0.10584026575088497,0.005313067342327128,0.10275297658517954,11.590372276306152,0.01026147194206712,-0.0003356114029884,0.0,2.94149169921875,5
atlas,1.2,0.005,0.1,0.105840291082859,0.005313073784075573,0.10275300191715356,11.590373229980468,0.01026147194206712,-0.0005557686090469,0.0,2.958804988861084,5
atlas,1.2,0.01,0.01,0.17967225015163418,0.013926257765315643,0.17658496098592874,18.745910263061525,0.0111147433519363,-0.00010067224502561063,0.0,2.500547742843628,5
atlas,1.2,0.01,0.02,0.17967224717140193,0.013926262673918837,0.17658495800569649,18.745910263061525,0.01111474316567178,-0.00019810199737544,0.0,2.4974997997283936,5
atlas,1.2,0.01,0.05,0.17967225611209864,0.013926263232852083,0.1765849669463932,18.74591064453125,0.011114743351936279,-0.00047290325164789994,0.0,2.9431173324584963,5
atlas,1.2,0.01,0.1,0.17967229187488554,0.013926268705357838,0.17658500270918007,18.74591178894043,0.011114743724465321,-0.00087047815322872,0.0,2.822252702713013,5
atlas,1.2,0.02,0.01,0.36540619730949403,0.034031814773894345,0.36231890814378853,34.91576995849609,0.012777813524007739,-0.00012611746788020994,0.0,2.6369085788726805,5
atlas,1.2,0.02,0.02,0.3654062032699585,0.0340318054735911,0.36231891410425304,34.91576995849609,0.0127778140828013,-0.00025028586387627997,0.0,2.691851997375488,5
atlas,1.2,0.02,0.05,0.365406209230423,0.034031810739734304,0.3623189200647175,34.915771484375,0.0127778140828013,-0.00061134696006772,0.0,2.6943570137023927,5
atlas,1.2,0.02,0.1,0.36540623903274533,0.03403182309499886,0.36231894986703994,34.915771865844725,0.0127778140828013,-0.00117543935775752,0.0,3.035861539840698,5
atlas,1.2,0.05,0.01,1.1093989253044128,0.1270409647409,1.1063116361387073,85.00740051269531,0.01770974546670906,-0.00018199682235714,0.0,2.847220039367676,5
atlas,1.2,0.05,0.02,1.1093989253044128,0.1270409647409,1.1063116361387073,85.00740051269531,0.01770974546670906,-0.00036281347274775996,0.0,2.633619213104248,5
atlas,1.2,0.05,0.05,1.1093989372253419,0.12704095027583767,1.1063116480596364,85.00740203857421,0.0177097458392381,-0.0008990526199340401,0.0,2.6453447341918945,5
atlas,1.2,0.05,0.1,1.1093990683555603,0.12704098872598496,1.106311779189855,85.00740661621094,0.01770974621176714,-0.0017712712287902398,0.0,2.4136822700500487,5
atlas,1.6,0.005,0.01,0.10182083100080483,0.002416903868537039,0.09873354183509941,11.188100624084473,0.010201625712215839,-5.947351455688476e-05,0.0,2.954966926574707,5
atlas,1.6,0.005,0.02,0.10182084739208216,0.0024169069030039836,0.09873355822637674,11.188101196289063,0.01020162086933846,-0.00011449903249734594,0.0,2.952921676635742,5
atlas,1.6,0.005,0.05,0.10182089358568187,0.0024169050873523983,0.09873360441997645,11.188103485107423,0.010201621241867501,-0.00025084316730496,0.0,2.7234772205352784,5
atlas,1.6,0.005,0.1,0.10182100534439083,0.002416912745934837,0.09873371617868539,11.188111686706543,0.01020168289542192,-0.00038320124149318,0.0,3.092653179168701,5
atlas,1.6,0.01,0.01,0.16934275627136225,0.00625716961636748,0.16625546710565683,17.77697868347168,0.01100048031657928,-8.124411106109619e-05,0.0,3.3128747940063477,5
atlas,1.6,0.01,0.02,0.16934277713298793,0.006257164875499433,0.16625548796728254,17.776980209350587,0.01100048087537284,-0.00015921592712398,0.0,3.0498259544372557,5
atlas,1.6,0.01,0.05,0.16934285163879392,0.006257173693327437,0.16625556247308843,17.776984024047852,0.01100048143416638,-0.00037436783313745997,0.0,3.251172733306885,5
atlas,1.6,0.01,0.1,0.1693430125713348,0.0062571847937031135,0.16625572340562936,17.776994705200195,0.01100048273801798,-0.0006705969572066999,0.0,3.1496060848236085,5
atlas,1.6,0.02,0.01,0.3403267860412597,0.014981552144219076,0.3372394968755543,32.862188720703124,0.01257720626890656,-0.00010131001472469567,0.0,3.437125253677368,5
atlas,1.6,0.02,0.02,0.3403268277645111,0.014981535040418137,0.3372395385988057,32.862190628051756,0.01257720664143556,-0.00020072460174553998,0.0,3.5827003002166746,5
atlas,1.6,0.02,0.05,0.34032692909240725,0.014981532705865577,0.33723963992670175,32.862196350097655,0.012577207200229121,-0.00048716068267818,0.0,3.5449215888977053,5
atlas,1.6,0.02,0.1,0.34032713174819945,0.014981551131095077,0.33723984258249395,32.86221008300781,0.01257720887660976,-0.00092530250549312,0.0,3.7092461585998535,5
atlas,1.6,0.05,0.01,1.0210065126419068,0.056365546159383495,1.0179192234762013,79.9099365234375,0.01721174642443652,-0.00014603137969966003,0.0,3.656925582885742,5
atlas,1.6,0.05,0.02,1.0210066080093383,0.056365578225482965,1.0179193188436328,79.90993957519531,0.017211747914552662,-0.00029088258743282,0.0,3.7628300189971924,5
atlas,1.6,0.05,0.05,1.0210068225860596,0.056365546845284074,1.0179195334203541,79.90995025634766,0.01721174828708168,-0.00071856975555416,0.0,3.600375270843506,5
atlas,1.6,0.05,0.1,1.021007251739502,0.056365569102491964,1.0179199625737965,79.90997314453125,0.01721175089478488,-0.00140973329544064,0.0,3.323635625839233,5
atlas,2.0,0.005,0.01,0.09804342240095136,0.0009695828533282351,0.09495613323524588,10.803827285766602,0.01015060264617198,-5.0024688243865965e-05,0.0,3.371477460861206,5
atlas,2.0,0.005,0.02,0.09804345220327372,0.0009695809195907124,0.09495616303756829,10.803829002380372,0.01015060264617198,-9.548366069791934e-05,0.0,3.0900793075561523,5
